Group,Type,Biomass,PB,QB,EE,ProdCons,BioAcc,Unassim,DetInput,Disc.offal,PelDetFate,BenthDetFate,F_beluga,F_bowhead,F_walrus,F_bearded,F_ringed,F_spotted,F_ribbon,F_herring,F_king_crab,Disc_beluga,Disc_bowhead,Disc_walrus,Disc_bearded,Disc_ringed,Disc_spotted,Disc_ribbon,Disc_herring,Disc_king_crab
copepods,0,,6,27.74,0.8,,0,0.2,,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pel_zooplankton,0,,5.475,,0.8,0.35,0,0.2,,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hyperiids,0,,2.5,,0.8,0.35,0,0.2,,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chaetognaths,0,,5.475,,0.8,0.35,0,0.2,,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mysids,0,,5.475,,0.8,0.35,0,0.2,,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pel_microbes,0,,26.25,,0.8,0.35,0,0.25,,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ben_microbes,0,,26.25,,0.8,0.35,0,0.25,,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ice_algae,1,,35,,0.8,,0,0,,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lg_phytoplankton,1,,75,,0.8,,0,0,,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm_phytoplankton,1,,110.9194,,0.8,,0,0,,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
discards_offal,2,,0.5,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pelagic_detritus,2,,0.5,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
benthic_detritus,2,,0.5,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beluga_harvest,3,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,
bowhead_harvest,3,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,
walrus_harvest,3,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,
bearded_seal_harvest,3,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,
ringed_seal_harvest,3,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,
spotted_seal_harvest,3,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,
ribbon_seal_harvest,3,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,
herring_harvest,3,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,
king_crabs_harvest,3,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,
